,Academic_Year,Age_Group_En,Gender_En,Nationality_Name_En,University_Name,Number_of_Trainees
2074,2017,From 20 to 29,Male,Saudi Arabia,Jeddah University,4
2075,2017,From 20 to 29,Male,Saudi Arabia,Jazan University,4
2076,2017,From 20 to 29,Female,Yemen,King Abdulaziz University,4
2077,2020,From 40 to 49,Female,Saudi Arabia,Taibah University,4
2080,2020,From 40 to 49,Male,Sudan,Unknown,4
2082,2020,From 40 to 49,Male,Saudi Arabia,Taibah University,4
2084,2017,From 20 to 29,Female,Saudi Arabia,Qassim University,4
2085,2020,From 20 to 29,Male,Palestine,Unknown,4
2086,2017,From 40 to 49,Female,Sudan,University Of Khartoum,4
2087,2020,From 20 to 29,Male,Saudi Arabia,Al Jouf University,4
2088,2017,From 40 to 49,Female,Saudi Arabia,King Saud Bin Abdulaziz University For Health Scinces,4
2089,2017,From 40 to 49,Male,Egypt,Unknown,4
2091,2017,From 40 to 49,Male,Kuwait,Unknown,4
2095,2017,From 20 to 29,Female,Saudi Arabia,Almaarefa University,4
2096,2020,From 40 to 49,Male,Egypt,Unknown,4
2097,2020,From 20 to 29,Female,Saudi Arabia,King Saud Bin Abdulaziz University For Health Scinces,4
2098,2017,From 40 to 49,Female,India,Unknown,4
2099,2017,From 40 to 49,Male,Saudi Arabia,October 6 University - Egypt,4
2100,2017,From 30 to 39,Male,Yemen,King Abdulaziz University,4
2101,2020,From 20 to 29,Male,Saudi Arabia,University Of Tabuk,4
2106,2021,From 20 to 29,Male,Syria,Unknown,4
2108,2020,From 30 to 39,Female,Yemen,Unknown,4
2109,2019,Unknown,Male,Egypt,King Abdulaziz University,4
2110,2020,From 30 to 39,Female,United Arab Emirates,Unknown,4
2111,2017,Unknown,Female,Yemen,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,4
2112,2021,From 20 to 29,Male,Saudi Arabia,Al Jouf University,4
2113,2017,Unknown,Male,India,Unknown,4
2114,2019,Unknown,Female,Palestine,Unknown,4
2115,2020,From 30 to 39,Female,Saudi Arabia,University Of Tabuk,4
2116,2017,Unknown,Female,Yemen,Umm Al Qura University,4
2117,2017,From 30 to 39,Male,Kuwait,October 6 University - Egypt,4
2120,2020,From 30 to 39,Female,Saudi Arabia,Arabian Gulf University,4
2121,2019,Unknown,Female,Saudi Arabia,Najran University,4
2126,2020,From 30 to 39,Female,Saudi Arabia,Jordan University Of Science And Technology,4
2128,2017,From 30 to 39,Female,Yemen,Unknown,4
2129,2016,Unknown,Male,India,Unknown,4
2130,2020,From 30 to 39,Male,Egypt,Unknown,4
2131,2017,From 30 to 39,Female,Yemen,King Abdulaziz University,4
2132,2017,From 30 to 39,Male,Pakistan,Unknown,4
2133,2020,From 30 to 39,Female,Saudi Arabia,Batterjee Medical College,4
2134,2021,From 20 to 29,Male,Kuwait,Unknown,4
2135,2021,From 30 to 39,Female,Saudi Arabia,Arabian Gulf University,4
2140,2018,Unknown,Female,Egypt,Batterjee Medical College,3
2141,2020,From 20 to 29,Male,Saudi Arabia,Jazan University,3
2142,2018,From 30 to 39,Male,Saudi Arabia,October 6 University - Egypt,3
2143,2018,From 30 to 39,Male,Saudi Arabia,Northern Borders University,3
2144,2016,From 20 to 29,Female,Saudi Arabia,Arabian Gulf University,3
2145,2017,From 20 to 29,Male,Saudi Arabia,Northern Borders University,3
2146,2020,From 40 to 49,Male,Egypt,Cairo University,3
2148,2020,From 30 to 39,Female,Saudi Arabia,Northern Borders University,3
2149,2018,From 30 to 39,Male,Saudi Arabia,Mansoura University - Egypt,3
2150,2018,Unknown,Male,Yemen,King Abdulaziz University,3
2151,2017,From 20 to 29,Male,Saudi Arabia,Majmaah University,3
2152,2018,Unknown,Male,Yemen,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,3
2153,2022,From 30 to 39,Female,Saudi Arabia,Qassim University,3
2155,2017,From 30 to 39,Male,Jordan,Unknown,3
2156,2017,From 20 to 29,Female,Saudi Arabia,Unknown,3
2157,2017,From 20 to 29,Female,United Arab Emirates,Unknown,3
2158,2022,From 30 to 39,Female,Saudi Arabia,University Of Imam Muhammad Bin Saud Islamic University,3
2159,2022,From 30 to 39,Female,Saudi Arabia,University Of Tabuk,3
