,Academic_Year,Age_Group_En,Gender_En,Nationality_Name_En,Trainee_Level_Name,Number_of_Trainees
382,2021,Unknown,Male,Saudi Arabia,F3,56
385,2018,From 30 to 39,Female,Saudi Arabia,F2,55
386,2021,Unknown,Female,Saudi Arabia,R3,54
387,2016,Unknown,Female,Saudi Arabia,D2,54
392,2018,Unknown,Female,Saudi Arabia,F2,52
394,2016,From 40 to 49,Female,Saudi Arabia,R3,51
397,2017,From 30 to 39,Female,Saudi Arabia,R5,50
400,2020,Unknown,Female,Saudi Arabia,R2,50
401,2020,From 20 to 29,Female,Saudi Arabia,R5,49
403,2017,From 40 to 49,Female,Saudi Arabia,R4,49
404,2018,From 30 to 39,Male,Saudi Arabia,R5,48
408,2021,From 20 to 29,Male,Saudi Arabia,D1,46
409,2021,From 30 to 39,Male,Saudi Arabia,D1,46
412,2020,From 20 to 29,Male,Saudi Arabia,R5,45
413,2018,From 20 to 29,Female,Saudi Arabia,D1,45
415,2019,Unknown,Female,Saudi Arabia,R1,44
418,2019,From 20 to 29,Male,Saudi Arabia,D1,44
420,2022,Unknown,Male,Saudi Arabia,D1,44
423,2019,From 30 to 39,Male,Saudi Arabia,F1,43
424,2020,From 30 to 39,Male,Saudi Arabia,F1,43
426,2021,From 30 to 39,Male,Saudi Arabia,R5,42
427,2022,Unknown,Female,Saudi Arabia,F3,41
428,2021,Unknown,Male,Saudi Arabia,R2,40
431,2021,From 30 to 39,Male,Saudi Arabia,F2,39
434,2020,From 30 to 39,Female,Saudi Arabia,F1,39
435,2020,From 30 to 39,Male,Saudi Arabia,F2,39
437,2019,From 20 to 29,Female,Saudi Arabia,D2,38
441,2020,From 20 to 29,Male,Saudi Arabia,D2,38
449,2016,From 40 to 49,Female,Saudi Arabia,R4,36
451,2019,From 30 to 39,Male,Saudi Arabia,R5,36
452,2022,From 20 to 29,Male,Saudi Arabia,F1,35
454,2021,From 30 to 39,Female,Saudi Arabia,F2,35
457,2020,Unknown,Female,Saudi Arabia,D1,34
459,2018,From 30 to 39,Female,Saudi Arabia,F1,33
461,2016,Unknown,Male,Saudi Arabia,D2,32
462,2016,From 30 to 39,Female,Saudi Arabia,D1,32
465,2018,From 40 to 49,Female,Saudi Arabia,D1,32
466,2022,From 20 to 29,Female,Saudi Arabia,F1,32
468,2017,From 40 to 49,Male,Saudi Arabia,F1,31
469,2019,From 30 to 39,Female,Saudi Arabia,F2,31
471,2021,Unknown,Female,Saudi Arabia,D1,31
473,2021,Unknown,Female,Saudi Arabia,F3,31
481,2021,Unknown,Female,Saudi Arabia,D2,30
484,2016,From 40 to 49,Male,Saudi Arabia,R4,29
485,2018,From 20 to 29,Male,Saudi Arabia,D1,29
490,2020,Unknown,Male,Saudi Arabia,R1,28
493,2017,From 30 to 39,Female,Saudi Arabia,D2,28
495,2016,From 30 to 39,Male,Saudi Arabia,R5,28
500,2018,Unknown,Male,Saudi Arabia,F3,27
501,2021,From 30 to 39,Female,Saudi Arabia,R5,27
503,2018,From 40 to 49,Male,Saudi Arabia,F2,27
504,2018,From 40 to 49,Male,Saudi Arabia,D1,26
506,2021,From 20 to 29,Female,Saudi Arabia,F1,26
508,2020,From 20 to 29,Female,Bahrain,R1,26
509,2018,From 40 to 49,Female,Saudi Arabia,R4,26
512,2021,From 20 to 29,Male,Saudi Arabia,F1,26
513,2021,Unknown,Female,Saudi Arabia,R2,26
514,2019,From 30 to 39,Female,Saudi Arabia,R5,26
517,2017,From 40 to 49,Female,Saudi Arabia,R3,26
519,2021,From 20 to 29,Female,Bahrain,R1,26
520,2022,From 20 to 29,Female,Saudi Arabia,F2,26
521,2017,From 40 to 49,Male,Saudi Arabia,R1,25
524,2018,From 30 to 39,Female,Saudi Arabia,R5,25
528,2017,Unknown,Male,Saudi Arabia,F3,25
532,2019,From 20 to 29,Male,Saudi Arabia,D2,25
537,2016,Unknown,Male,Yemen,F1,24
538,2020,Unknown,Female,Saudi Arabia,F3,24
540,2021,From 20 to 29,Female,Bahrain,R2,24
541,2019,From 30 to 39,Female,Saudi Arabia,F1,24
542,2022,From 20 to 29,Male,Saudi Arabia,F2,24
544,2019,Unknown,Male,Saudi Arabia,F3,23
545,2020,From 30 to 39,Female,Saudi Arabia,F2,23
550,2017,From 30 to 39,Male,Saudi Arabia,D1,23
551,2017,Unknown,Male,Yemen,R4,22
552,2016,Unknown,Male,Yemen,R3,22
560,2019,From 20 to 29,Female,Bahrain,R1,21
564,2018,From 30 to 39,Male,Saudi Arabia,F1,21
567,2016,Unknown,Male,Yemen,F2,21
568,2019,Unknown,Male,Saudi Arabia,D1,21
569,2022,Unknown,Female,Saudi Arabia,D1,21
570,2022,Unknown,Female,Saudi Arabia,D2,21
572,2016,From 40 to 49,Male,Saudi Arabia,R1,21
576,2016,From 30 to 39,Male,Saudi Arabia,D1,20
577,2021,From 20 to 29,Female,Saudi Arabia,R5,20
578,2016,From 40 to 49,Female,Saudi Arabia,R2,20
581,2016,Unknown,Female,Sudan,R3,20
586,2017,Unknown,Male,Yemen,F2,20
591,2017,Unknown,Female,Sudan,R3,20
594,2019,From 30 to 39,Male,Saudi Arabia,F3,19
595,2019,From 40 to 49,Male,Saudi Arabia,F1,19
596,2019,Unknown,Male,Saudi Arabia,R6,19
599,2019,From 40 to 49,Male,Saudi Arabia,R3,19
600,2022,From 20 to 29,Female,Saudi Arabia,R3,19
604,2018,Unknown,Female,Sudan,R4,19
605,2017,From 40 to 49,Male,Saudi Arabia,R5,19
606,2020,From 20 to 29,Female,Bahrain,R2,19
608,2020,Unknown,Male,Saudi Arabia,R6,19
609,2016,Unknown,Female,Sudan,R2,19
612,2020,From 40 to 49,Male,Saudi Arabia,R4,18
613,2021,Unknown,Female,Saudi Arabia,R1,18
614,2019,From 30 to 39,Male,Saudi Arabia,F2,18
615,2016,Unknown,Male,Saudi Arabia,F3,18
616,2016,Unknown,Male,Yemen,R2,18
617,2017,Unknown,Female,Sudan,R4,18
622,2018,From 40 to 49,Male,Saudi Arabia,R2,18
627,2019,Unknown,Male,Yemen,F1,18
633,2021,From 20 to 29,Female,Bahrain,R3,18
