,Academic_Year,City_Name_En,Current_Training_Center_Name_En,University_Name,Number_of_Trainees,Exclude_from_chart
161,2020,Taif,Armed Forces Hospital in Al-Hada in Taif,Unknown,125,yes
162,2021,Hofuf,King Fahad Hospital in Hofuf,Unknown,124,yes
163,2020,Madinah,King Fahd Hospital in Medina,Unknown,123,yes
164,2017,Riyadh,King Fahad Medical City in Riyadh,King Saud University,123,no
167,2017,Riyadh,King Saud Medical City in Riyadh,King Saud University,121,no
168,2021,Taif,King Faisal Medical Complex in Taif,Unknown,121,yes
170,2019,Riyadh,King Khalid University Hospital in Riyadh,King Saud University,120,no
171,2017,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,King Khalid University,120,no
173,2020,Alqatif  ,AlQatif Central Hospital,Unknown,119,yes
176,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,King Abdulaziz University,117,no
177,2016,Riyadh,King Saud Medical City in Riyadh,King Saud University,117,no
178,2019,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Unknown,117,yes
179,2021,Jeddah,King Abdulaziz Hospital in Jeddah,Unknown,117,yes
181,2019,Dammam,King Fahd Specialist Hospital in Dammam,Unknown,116,yes
182,2021,Riyadh,Riyadh Second Health Cluster,Unknown,115,yes
183,2018,Jazan,General Directorate of Health Affairs in Jazan Region,Unknown,115,yes
184,2020,Dammam,Dammam Medical Complex,Unknown,115,yes
185,2020,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,Unknown,115,yes
186,2021,Albahah,General Directorate of Health Affairs in Al-Baha Region,Unknown,115,yes
187,2021,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Unknown,114,yes
188,2021,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,Unknown,113,yes
189,2021,Madinah,Maternity and Children Hospital in Medina,Unknown,112,yes
191,2020,Makkah,Alnoor Specialist Hospital in Mecca,Unknown,112,yes
193,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,King Saud University,110,no
196,2017,Riyadh,Medical City of King Saud University in Riyadh,King Saud University,106,no
197,2018,Riyadh,Security Forces Hospital in Riyadh,Unknown,106,yes
200,2018,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,King Khalid University,105,no
202,2017,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,King Abdulaziz University,104,no
203,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,King Abdulaziz University,104,no
206,2019,Jeddah,The program of the Ministry of Health in Jeddah,Unknown,104,yes
208,2021,Riyadh,Dr. Sulaiman AlHabib Medical Group in Riyadh,Unknown,104,yes
210,2019,Makkah,King Abdullah Medical City in the Holy Capital,Unknown,103,yes
211,2018,Dammam,King Fahd Specialist Hospital in Dammam,Unknown,103,yes
213,2018,Riyadh,King Saud Medical City in Riyadh,King Saud University,102,no
215,2016,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,King Saud Bin Abdulaziz University For Health Scinces,102,no
218,2020,Jeddah,East Jeddah Hospital in Jeddah,Unknown,101,yes
220,2017,Makkah,King Abdullah Medical City in the Holy Capital,Umm Al Qura University,101,no
221,2017,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Umm Al Qura University,100,no
222,2018,Riyadh,Medical City of King Saud University in Riyadh,King Saud University,100,no
223,2019,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Unknown,99,yes
224,2016,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,King Khalid University,99,no
225,2019,Taif,Armed Forces Hospital in Al-Hada in Taif,Unknown,99,yes
226,2016,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,King Abdulaziz University,99,no
227,2019,Riyadh,Prince Sultan Military Medical City in Riyadh,King Saud University,98,no
229,2020,Abha,General Directorate of Health Affairs in Aseer Region,King Khalid University,98,no
232,2017,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,King Abdulaziz University,98,no
234,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,King Saud University,97,no
235,2019,Riyadh,Medical City of King Saud University in Riyadh,King Saud University,97,no
237,2020,Hofuf,King Fahad Hospital in Hofuf,Unknown,97,yes
238,2020,Najran,General Directorate of Health Affairs in Najran Region,Unknown,96,yes
239,2021,Taif,King Abdulaziz Specialist Hospital in Taif,Unknown,96,yes
240,2021,Jeddah,International Medical Center in Jeddah,Unknown,96,yes
241,2019,Dammam,Dammam Medical Complex,Unknown,96,yes
242,2018,Riyadh,King Fahad Medical City in Riyadh,King Saud University,96,no
