,Year,Nationality_En,Number_of_Cases
134,2020,Belarus,25
135,2020,Belgium,45
136,2020,Bolivia,8
137,2020,Bosnia And Herzegovina,78
138,2020,Brazil,20
139,2020,Bulgaria,8
140,2020,Burkina Faso,11
141,2020,Burma,12
142,2020,Cameroon,4
143,2020,Canada,554
144,2020,Central African Republic,2
145,2020,Chad,85
146,2020,Chile,1
147,2020,China,200
148,2020,Colombia,17
149,2020,Comoros,2
150,2020,Croatia,95
151,2020,Cuba,396
152,2020,Cyprus,6
153,2020,Czech Republic,163
154,2020,Denmark,5
155,2020,Djibouti,18
156,2020,Dominica,8
157,2020,Dominican Republic,2
158,2020,Egypt,46214
159,2020,Eritrea,308
160,2020,Ethiopia,49
161,2020,Finland,52
162,2020,France,184
163,2020,Germany,162
164,2020,Ghana,23
165,2020,Greece,269
166,2020,Guatemala,1
167,2020,Honduras,2
168,2020,Hungary,6
169,2020,Iceland,1
170,2020,Immigrant Tribes,359
171,2020,India,28549
172,2020,Indonesia,1541
173,2020,Iran,1
174,2020,Iraq,107
175,2020,Ireland,424
176,2020,Italy,221
177,2020,Jordan,5372
178,2020,Kazakhstan,7
179,2020,Kenya,42
180,2020,Kosovo,8
181,2020,Kuwait,65
182,2020,Kyrgyzstan,19
183,2020,Lebanon,1588
184,2020,Lesotho,11
185,2020,Libya,21
186,2020,Macedonia,12
187,2020,Madagascar,1
188,2020,Malaysia,2175
189,2020,Maldives,1
190,2020,Mali,20
191,2020,Mauritania,46
192,2020,Mexico,21
193,2020,Morocco,111
194,2020,Myanmar,8
195,2020,Nepal,89
196,2020,Netherlands,19
197,2020,New Zealand,104
198,2020,Niger,21
199,2020,Nigeria,1476
200,2020,Norway,16
201,2020,Oman,12
202,2020,Pakistan,6724
203,2020,Palestine,2632
204,2020,Philippines,39471
205,2020,Poland,114
206,2020,Portugal,274
207,2020,Qatar,2
208,2020,Romania,65
209,2020,Russia,226
210,2020,Saint Kitts And Nevis,15
211,2020,Saudi Arabia,235580
212,2020,Scotland,488
213,2020,Senegal,1
214,2020,Serbia,154
215,2020,Singapore,4
216,2020,Slovakia,142
217,2020,Somalia,292
218,2020,South Africa,774
219,2020,South Korea,149
220,2020,South Sudan,18
221,2020,Spain,307
222,2020,Sri Lanka,18
223,2020,Sudan,22752
224,2020,Sweden,63
225,2020,Switzerland,7
226,2020,Syria,7869
227,2020,Taiwan,4
228,2020,Tajikistan,4
229,2020,Tanzania,19
230,2020,Thailand,27
231,2020,Tunisia,1487
232,2020,Turkey,179
233,2020,Turkmenistan,2
234,2020,Uganda,4
235,2020,Ukraine,51
236,2020,United Arab Emirates,26
237,2020,United Kingdom,1270
238,2020,United States,936
239,2020,Uzbekistan,207
240,2020,Venezuela,226
241,2020,Yemen,6291
242,2020,Yugoslavia,8
243,2020,Zimbabwe,24
244,2021,Afghanistan,110
245,2021,Albania,9
246,2021,Algeria,649
247,2021,Argentina,217
248,2021,Armenia,26
249,2021,Aruba,3
250,2021,Australia,160
251,2021,Austria,18
252,2021,Azerbaijan,106
253,2021,Bahrain,479
254,2021,Bangladesh,348
255,2021,Belarus,18
256,2021,Belgium,50
257,2021,Bosnia And Herzegovina,96
258,2021,Brazil,68
259,2021,Bulgaria,1
260,2021,Burkina Faso,5
261,2021,Burma,10
262,2021,Cameroon,5
263,2021,Canada,531
264,2021,Central African Republic,1
265,2021,Chad,115
266,2021,China,86
267,2021,Colombia,46
268,2021,Croatia,80
269,2021,Cuba,289
270,2021,Czech Republic,180
271,2021,Denmark,3
272,2021,Djibouti,31
273,2021,Dominica,4
274,2021,Dominican Republic,6
275,2021,Egypt,43802
276,2021,Eritrea,397
277,2021,Ethiopia,99
278,2021,Finland,72
279,2021,France,152
280,2021,Germany,211
281,2021,Ghana,25
282,2021,Greece,317
283,2021,Guyana,6
284,2021,Honduras,1
285,2021,Hungary,10
286,2021,Iceland,1
287,2021,Immigrant Tribes,344
288,2021,India,33927
289,2021,Indonesia,862
290,2021,Iran,2
291,2021,Iraq,138
292,2021,Ireland,418
293,2021,Italy,172
294,2021,Jordan,5599
295,2021,Kazakhstan,3
296,2021,Kenya,37
297,2021,Kuwait,164
298,2021,Kyrgyzstan,23
299,2021,Latvia,1
300,2021,Lebanon,2751
301,2021,Libya,31
302,2021,Malaysia,2757
303,2021,Mali,10
304,2021,Mauritania,74
305,2021,Mauritius,2
306,2021,Mexico,20
307,2021,Morocco,184
308,2021,Myanmar,5
309,2021,Nepal,143
310,2021,Netherlands,20
311,2021,New Zealand,97
312,2021,Niger,46
313,2021,Nigeria,2477
314,2021,Norway,4
315,2021,Oman,27
316,2021,Pakistan,6967
317,2021,Palestine,2771
318,2021,Philippines,43293
319,2021,Poland,123
320,2021,Portugal,105
321,2021,Qatar,2
322,2021,Romania,34
323,2021,Russia,239
324,2021,Saint Kitts And Nevis,4
325,2021,Saudi Arabia,229006
326,2021,Scotland,169
327,2021,Senegal,1
328,2021,Serbia,221
329,2021,Sierra Leone,11
330,2021,Singapore,5
331,2021,Slovakia,71
332,2021,Somalia,285
333,2021,South Africa,895
334,2021,South Korea,198
335,2021,South Sudan,3
336,2021,Spain,259
337,2021,Sri Lanka,36
338,2021,Sudan,25416
339,2021,Sweden,62
340,2021,Syria,7626
341,2021,Taiwan,8
342,2021,Tajikistan,8
343,2021,Tanzania,20
344,2021,Thailand,26
345,2021,Tunisia,1704
346,2021,Turkey,166
347,2021,Uganda,2
348,2021,Ukraine,52
349,2021,United Arab Emirates,14
350,2021,United Kingdom,1466
351,2021,United States,1189
352,2021,Unknown,6
353,2021,Uruguay,6
354,2021,Uzbekistan,127
355,2021,Venezuela,270
356,2021,Yemen,6286
357,2021,Yugoslavia,1
358,2021,Zimbabwe,4
359,2022,Afghanistan,67
360,2022,Albania,15
361,2022,Algeria,553
362,2022,Argentina,167
363,2022,Armenia,23
364,2022,Aruba,1
365,2022,Australia,155
366,2022,Austria,30
367,2022,Azerbaijan,66
368,2022,Bahrain,690
369,2022,Bangladesh,311
370,2022,Belarus,20
371,2022,Belgium,38
372,2022,Bosnia And Herzegovina,72
373,2022,Brazil,70
374,2022,British Indian Ocean Territory,1
375,2022,Bulgaria,5
376,2022,Burkina Faso,7
377,2022,Burma,6
378,2022,Canada,492
379,2022,Chad,96
380,2022,Chile,5
381,2022,China,45
382,2022,Colombia,22
383,2022,Comoros,2
384,2022,Croatia,49
385,2022,Cuba,123
386,2022,Cyprus,1
387,2022,Czech Republic,65
388,2022,Denmark,3
389,2022,Djibouti,29
390,2022,Dominica,15
391,2022,Dominican Republic,7
392,2022,Egypt,36537
393,2022,Eritrea,301
394,2022,Estonia,15
395,2022,Ethiopia,71
396,2022,Finland,24
397,2022,France,142
398,2022,Germany,283
399,2022,Ghana,18
400,2022,Greece,156
401,2022,Guyana,7
402,2022,Hungary,13
403,2022,Immigrant Tribes,255
404,2022,India,31608
405,2022,Indonesia,1209
406,2022,Iran,9
407,2022,Iraq,160
408,2022,Ireland,322
409,2022,Italy,83
410,2022,Japan,8
411,2022,Jordan,4734
412,2022,Kazakhstan,5
